"YEAR","GINI","gdp","L_gdp","D_L_gdp","gov_gdp","D_gov_gdp","serv_gdp","D_serv_gdp","infl","unemp","m_unemp","lfpr","D_lfpr","fem_lfpr","D_fem_lfpr","hs","col","hs_fem","col_fem"
2006,0.47,16433148,16.6148110723907,0.0274647630981519,19.9428861712923,-0.236008480475885,43.7012321521285,0.0931556731858194,3.17500317892625,4.60833333333333,4.04166666666667,66.1666666666667,0.13333333333334,59.3583333333333,0.125,31.7368826999646,27.9960809655834,31.6283830568685,26.9038945921265
2007,0.463,16762445,16.6346515254332,0.019840453042459,19.90077819793,-0.0421079733623628,44.0753247772524,0.374092625123865,2.81274140367938,4.61666666666667,4.15,66.0333333333333,-0.13333333333334,59.3,-0.0583333333333371,31.644006216614,28.7374303975957,31.6035164573773,27.9938947639672
2008,0.466,16781485,16.6357867532998,0.00113522786654841,20.3801213063087,0.479343108378753,45.273693146219,1.1983683689666,3.76724026066837,5.8,5.475,66.025,-0.00833333333332575,59.4833333333333,0.183333333333337,31.16731616617,29.4373551361402,31.1209309176609,28.8250601463151
2009,0.468,16349110,16.6096840195752,-0.0261027337245814,21.6691550793896,1.28903377308093,46.3542267071979,1.08053356097889,-0.356179834234371,9.28333333333333,9.60833333333333,65.4,-0.625,59.2083333333333,-0.274999999999999,31.0795067705575,29.5403081423204,30.7501435285646,29.0638045286911
2010,0.47,16789750,16.6362791391275,0.0265951195523293,21.082231718757,-0.586923360632664,46.1322704389556,-0.221956268242266,1.62673998780853,9.60833333333333,9.81666666666667,64.7083333333333,-0.691666666666677,58.625,-0.583333333333336,31.2392461286063,29.9307750790285,30.6689960715423,29.61593776242
2011,0.477,17052410,16.6518021006786,0.0155229615510812,20.09599229669,-0.986239422066951,46.0311497659062,-0.101120673049358,3.108037773415,8.93333333333333,8.7,64.1083333333333,-0.599999999999994,58.1166666666667,-0.508333333333333,30.7185067206502,30.4366810060384,30.2339848355588,30.0719879604689
2012,0.477,17442759,16.6744351634742,0.0226330627955811,19.2398347073419,-0.856157589348143,45.5865490092574,-0.444600756648803,2.04821734627725,8.075,7.525,63.7,-0.408333333333331,57.675,-0.441666666666663,30.361376289844,30.9371929670201,29.9624272027052,30.5504414803682
2013,0.482,17812167,16.6953923210816,0.0209571576073877,18.3896209821073,-0.850213725234543,45.2946720224531,-0.291876986804311,1.45420761577295,7.35833333333333,6.975,63.2583333333333,-0.44166666666667,57.2,-0.475000000000009,29.8232470915761,31.660858679839,29.4533152406268,31.3911556406491
2014,0.48,18261714,16.7203172951005,0.0249249740189619,17.7818084326586,-0.60781254944872,45.3646660424856,0.0699940200324605,1.60920553309518,6.15833333333333,5.70833333333333,62.8833333333333,-0.375,56.9833333333333,-0.216666666666661,29.7390664494211,31.9556398629633,29.000414002484,32.0014720088321
2015,0.479,18799622,16.7493473212151,0.0290300261145475,17.625748007061,-0.15606042559763,45.5987938574975,0.234127815011917,0.118556829162131,5.275,4.90833333333333,62.6583333333333,-0.225000000000001,56.7,-0.283333333333331,29.4981426658873,32.500989949654,28.6434758945984,32.6735906390312
2016,0.481,19141672,16.7673782964956,0.0180309752805172,17.6500151083981,0.0242671013370632,46.2316044748519,0.632810617354366,1.25369154868018,4.875,4.50833333333333,62.8,0.141666666666666,56.7916666666667,0.0916666666666615,28.8361277120201,33.4395274748273,27.9650313947135,33.6940067894987
2017,0.482,19612102,16.7916573826371,0.0242790861415685,17.3216568014994,-0.328358306898654,46.2898418537697,0.0582373789178163,2.10774026958198,4.35833333333333,3.99166666666667,62.85,0.0500000000000043,57.0416666666667,0.25,28.8178645682069,34.1612845229369,27.7236516070588,34.6288089380712
2018,0.486,20193896,16.8208909384886,0.0292335558514267,17.1586503169076,-0.163006484591758,46.088285168709,-0.201556685060687,2.41322926836895,3.89166666666667,3.575,62.8833333333333,0.0333333333333314,57.0916666666667,0.0500000000000043,28.5152163035073,34.9924942000637,27.5162544200616,35.3174986180453
2019,0.484,20715671,16.8464010249555,0.0255100864669409,17.3799970080622,0.221346691154515,45.9829817870786,-0.105303381630435,1.79598527360865,3.675,3.36666666666667,63.1,0.216666666666669,57.4333333333333,0.341666666666669,28.1106927098854,36.0378908966128,27.009226104911,36.5986252319594
2020,0.488,20284500,16.8253676055637,-0.0210334193918555,18.3524168700239,0.97241986196175,44.5501886033685,-1.43279318371003,1.22603774349654,8.1,7.46666666666667,61.7416666666667,-1.35833333333333,56.2083333333333,-1.225,27.6147907719069,37.5243210286114,26.1753505279557,38.320062316081
2021,0.494,21532407,16.8850696605835,0.0597020550198835,17.2699735798232,-1.08244329020071,44.7626903293883,0.212501726019774,4.59084814752551,5.35,5.20833333333333,61.675,-0.06666666666667,56.0833333333333,-0.125,27.8506545551697,37.8649033751892,26.4018993058244,39.0888837277318
2022,0.488,22075931,16.9099984779704,0.0249288173868756,16.6367162499285,-0.633257329894708,45.1027445657034,0.340054236315105,7.69869650641857,3.65,3.41666666666667,62.2333333333333,0.558333333333337,56.775,0.691666666666663,28.4897955575983,37.6609773990825,26.9854509183463,39.0082204031093
2023,0.485,22723719,16.938919826802,0.0289213488316058,16.7256424883621,0.0889262384335652,45.727401349592,0.624656783888561,4.03387262489039,3.625,3.48333333333333,62.6083333333333,0.375,57.325,0.550000000000004,28.1554677206851,38.3443126921388,26.5895458440446,39.7086546700943
2024,0.488,23358435,16.966468718817,0.0275488920150053,16.8903524572601,0.164709968898034,46.5372173874044,0.809816037812425,2.90686355746557,4.025,3.75833333333333,62.5916666666667,-0.0166666666666657,57.5,0.174999999999997,27.8546562228024,38.6814621409922,26.1812023708721,40.1354784081287
